Date,Year,Month,Day,Adj Close,Close,High,Low,Open,Volume
5/13/16,2016,5,13,1.0035929679870605,1.0245000123977661,1.024999976158142,0.9750000238418579,0.9797499775886536,2110256000
5/16/16,2016,5,16,1.0332261323928833,1.0547499656677246,1.0700000524520874,1.0134999752044678,1.0167499780654907,973032000
5/17/16,2016,5,17,1.0354300737380981,1.0570000410079956,1.0644999742507935,1.0364999771118164,1.0499999523162842,628392000
5/18/16,2016,5,18,1.0618791580200195,1.0839999914169312,1.096250057220459,1.0499999523162842,1.0499999523162842,541072000
5/19/16,2016,5,19,1.0665318965911865,1.0887500047683716,1.096500039100647,1.0782500505447388,1.0797499418258667,398880000
5/20/16,2016,5,20,1.085634708404541,1.1082500219345093,1.1127500534057617,1.09375,1.0954999923706055,391084000
5/23/16,2016,5,23,1.0873485803604126,1.1100000143051147,1.1172499656677246,1.1032500267028809,1.1130000352859497,413636000
5/24/16,2016,5,24,1.113743782043457,1.1339999437332153,1.1375000476837158,1.1074999570846558,1.1104999780654907,415788000
5/25/16,2016,5,25,1.1090781688690186,1.1292500495910645,1.1422499418258667,1.1202499866485596,1.1375000476837158,458076000
5/26/16,2016,5,26,1.1208637952804565,1.1412500143051147,1.1495000123977661,1.128000020980835,1.131250023841858,309964000
5/27/16,2016,5,27,1.1270023584365845,1.1475000381469727,1.1492500305175781,1.1387499570846558,1.1425000429153442,277416000
5/31/16,2016,5,31,1.1471360921859741,1.1679999828338623,1.1705000400543213,1.1517499685287476,1.152500033378601,412524000
6/1/16,2016,6,1,1.149345874786377,1.1702500581741333,1.181499958,1.159000039100647,1.162500023841858,387132000
6/2/16,2016,6,2,1.157448649406433,1.1785000562667847,1.1885000467300415,1.1649999618530273,1.1764999628067017,329208000
6/3/16,2016,6,3,1.141243577003479,1.1619999408721924,1.1684999465942383,1.1414999961853027,1.1670000553131104,461076000
6/6/16,2016,6,6,1.1353507041931152,1.156000018119812,1.1740000247955322,1.149999976158142,1.1649999618530273,322512000
6/7/16,2016,6,7,1.1375600099563599,1.1582499742507935,1.1694999933242798,1.1577500104904175,1.1629999876022339,193400000
6/8/16,2016,6,8,1.1338770389556885,1.1545000076293945,1.162750005722046,1.1449999809265137,1.1584999561309814,234616000
6/9/16,2016,6,9,1.1633414030075073,1.184499979019165,1.1862499713897705,1.1480000019073486,1.1505000591278076,472168000
6/10/16,2016,6,10,1.1343685388565063,1.1549999713897705,1.180999994277954,1.153499960899353,1.1705000400543213,400024000
6/13/16,2016,6,13,1.148855209350586,1.1697499752044678,1.1924999952316284,1.15625,1.15625,475588000
6/14/16,2016,6,14,1.1510645151138306,1.1720000505447388,1.1775000095367432,1.1540000438690186,1.1670000553131104,298344000
6/15/16,2016,6,15,1.1628503799438477,1.184000015258789,1.1942499876022339,1.1687500476837158,1.1817500591278076,301036000
6/16/16,2016,6,16,1.1675151586532593,1.1887500286102295,1.190750002861023,1.1637500524520874,1.1752500534057617,246456000
6/17/16,2016,6,17,1.1471360921859741,1.1679999828338623,1.190500020980835,1.1632499694824219,1.190250039100647,471000000
6/20/16,2016,6,20,1.167760968208313,1.1890000104904175,1.2042499780654907,1.1859999895095825,1.186750054359436,293768000
6/21/16,2016,6,21,1.1606401205062866,1.1817500591278076,1.1972500085830688,1.1799999475479126,1.194000005722046,212508000
6/22/16,2016,6,22,1.159658670425415,1.1807500123977661,1.1920000314712524,1.1787500381469727,1.184249997138977,202620000
6/23/16,2016,6,23,1.1905955076217651,1.212249994277954,1.2135000228881836,1.191249966621399,1.1920000314712524,297880000
6/24/16,2016,6,24,1.1228281259536743,1.1432499885559082,1.184000015258789,1.1325000524520874,1.162500023841858,1017684000
6/27/16,2016,6,27,1.1107970476150513,1.131000042,1.1425000429153442,1.1142499446868896,1.1337499618530273,449088000
6/28/16,2016,6,28,1.1270023584365845,1.1475000381469727,1.153749942779541,1.1317499876022339,1.152500033378601,381920000
6/29/16,2016,6,29,1.1454172134399414,1.1662499904632568,1.1752500534057617,1.1545000076293945,1.1575000286102295,318932000
6/30/16,2016,6,30,1.1542569398880005,1.1752500534057617,1.1825000047683716,1.158750057220459,1.1682499647140503,430940000
7/1/16,2016,7,1,1.1456626653671265,1.1664999723434448,1.184000015258789,1.162500023841858,1.1687500476837158,218488000
7/5/16,2016,7,5,1.1626046895980835,1.183750033378601,1.1857500076293945,1.1507500410079956,1.159999966621399,371084000
